Model,Accuracy,Macro F1,Latency (ms/img),Size (MB)
ResNet18,0.9664732430689877,0.9664780783814388,1.321168649258498,42.68156814575195
EfficientNetB1,0.9903288201160542,0.9903366942868829,1.9379838471952724,25.107479095458984
ViT_Tiny,0.9871050934880722,0.9871253644237077,1.4122433700840662,21.077655792236328
